Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_Abiebrac,SppBiomass_Abiegran,SppBiomass_Acermacr,SppBiomass_Aesccali,SppBiomass_Alnurhom,SppBiomass_Alnurubr,SppBiomass_Arbumenz,SppBiomass_Lithdens,SppBiomass_Pinuatte,SppBiomass_Pinucoul,SppBiomass_Pinulamb,SppBiomass_Pinumono,SppBiomass_Pinupond,SppBiomass_Pinuradi,SppBiomass_Pinusabi,SppBiomass_Platrace,SppBiomass_Popubals,SppBiomass_Pseumacr,SppBiomass_Pseumenz,SppBiomass_Queragri,SppBiomass_Querchry,SppBiomass_Querdoug,SppBiomass_Quergarr,SppBiomass_Querkell,SppBiomass_Querloba,SppBiomass_Querwisl,SppBiomass_Sequsemp,SppBiomass_Umbecali,
10, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.00156609133979849, 0.0452802318029386, 0.0042638393333854, 0, 0.0897332373259613, 0.000310070605869281, 0.0352620585769286, 0, 0.00335581871846956, 0.0612182564238278, 0, 0, 0.00119075180938551, 0, 1.73322165063838, 1.4396644559339, 0.0822966035540497, 0, 0.00411588479382693, 0.00411588479382693, 0.262247534463025, 0, 0.230031401783062, 
10, BS3, 3, 280318, 0.128015046733466, 0, 0.36706964016056, 0.291904504522734, 0.0561747460110851, 0.0960421325305496, 14.1948362844968, 33.6047352714142, 0.0237227192247161, 1.25171204562097, 6.27567827395803E-05, 0.00206324051037826, 0.334314528243324, 4.42725447617056, 0.161129783756991, 0.275717846313476, 0.000752521102665002, 0.000260138044036889, 1.52381836093834, 70.6610059739999, 20.3390298911101, 0.180309502380466, 0.0226361844008895, 2.00297878772759, 0.348477690734738, 14.7766624102467, 68.3796132674933, 21.0515086002941, 
10, BS4, 4, 236621, 0.0491469150049587, 0, 0.774035331604107, 0.432662632222723, 0.0990502372407435, 0.00271435932414612, 17.8827935222515, 29.2217516277361, 0.0116300788974568, 0.976815972489462, 0, 0, 0.228110251966225, 0.657209080742661, 0.49030251264815, 0.210812342069113, 0.00101035511859793, 0, 1.93875416475004, 111.287808779676, 5.38214005670913, 0.303351718015209, 0.114921586437476, 2.87889680909139, 0.364858832056974, 27.0008901079559, 166.016691458509, 31.2311426850572, 
10, BS5, 5, 44658, 0.0410739676834589, 0, 0.46877556675424, 0.0807831755807297, 0.0324516217052667, 0.0903408375219458, 14.9146073446992, 27.0547946510262, 0.0799363155639189, 3.82783265956341, 3.37649101245536E-05, 0.000637848477916896, 0.28605752784826, 0.0127193942820211, 0.749169460364369, 0.318968363864022, 0.000316303188169022, 0.000129666040777503, 2.6695583436315, 53.4902000233556, 16.0886665681264, 0.503499611561519, 0.0148864632313985, 0.895162778949443, 0.359929564433858, 23.5028568001461, 75.4525711764319, 16.6540447986848, 
10, BS6, 6, 713, 0, 0, 0.411323786116248, 0.0414369765036905, 0.0152236275050951, 0.850964956831965, 11.7225866090365, 34.9105026491227, 0.282690999885762, 0.194190927508168, 0, 0, 0.00277104116924013, 2.00881500197326, 0.465831901047374, 0.0294797624478333, 0, 0, 12.2366682924696, 30.2119525906749, 19.3131336149293, 0.021970867274687, 0, 0.0568260467737955, 0.0518742968624805, 0.868535171551591, 90.8240049888509, 14.7532488727971, 
10, BS7, 7, 5845, 0.000959304054136252, 0, 0.022691687689162, 0.000498857163689502, 0.0037140962912345, 0, 0.762127192312066, 0.97960833393681, 0.00336851820770342, 0.0727025897610993, 0, 0, 0.00212192154012244, 5.80671162535942, 0.0827809877126415, 0.0106499795530269, 0, 0, 0.045637368503241, 19.4161025916133, 0.150758244177538, 0.00153192050238773, 0, 0.0603124999510518, 0.0174576724258828, 0.645181221713155, 9.14052424642956, 1.46473814472365, 
10, BS8, 8, 5963, 0.00414394444714012, 0, 0.0740577964280529, 0.0348907389457686, 0.00541927237529073, 0.00596023425547325, 1.59802738716193, 1.40794651639875, 0.00122398436919127, 0.199031002905751, 0, 0, 0.0283326546097889, 0.0144786601216126, 0.360720553055078, 0.0498302020863481, 0, 0, 0.00452343669490248, 13.8952509905495, 3.61063932724773, 0.129647229034869, 0, 0.132997776545196, 0.0692901952982788, 0.933172207559972, 6.59050907141887, 2.58131403881452, 
10, BS9, 9, 38501, 0.0198530387588608, 0, 0.151932513750063, 0.168659296306009, 0.0116387657281848, 0.0145061035713082, 5.86823476134627, 6.01984625392008, 0.00118787545160344, 1.72101663680842, 0, 0.000742315744437824, 0.102055368007076, 0.60010452183317, 0.764980953410552, 0.104749510546529, 0, 0, 0.0489137026617203, 31.4833121539147, 7.50580112027093, 0.295222423747962, 0.0255309622837833, 0.456696673265163, 0.233577743034475, 3.89030758944001, 17.0642764542134, 5.81654830980399, 
10, BS10, 10, 8198, 0.0045468316889007, 0, 0.0455376404499129, 0.0337777379141345, 0.00649072333468725, 0.0120769368639572, 0.702599065017049, 1.1783762235239, 0, 0.0268592696621465, 0.000122621237402807, 0, 0.0487851334013686, 1.58937064238542, 0.112141573013228, 0.0113398755838534, 0, 0.000470897458651846, 0.000199632328817047, 33.8222174745677, 3.91928705688685, 0.00286640391520798, 0, 0.0892703316798586, 0.0684108904409071, 0.257861638831115, 1.53481403854772, 3.5885985542664, 
10, BS11, 11, 44097, 0.0139214216988327, 0, 0.155205061649966, 0.0587980660986278, 0.0188678988962294, 0.0557846657572429, 9.82711960237405, 10.962591194535, 0.00149648944371941, 4.77763209746133, 0.000319148347034831, 0.00493480172652432, 0.0927320806110252, 1.21655503070216, 0.188630034978323, 0.267728359490497, 0, 0.00122561269756196, 0.0984291156397944, 21.7610769878913, 12.3911782943638, 0.698639080757311, 0.0202640515756593, 0.60936517499403, 0.540334717606753, 4.00324616736154, 37.2802018480679, 8.29692104116498, 
