FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
81.47,68.17,24,50,5,Summer,All
81.66,69.27,16,360,5,Summer,All
83.75,71.09,16,360,5,Summer,All
88.73,74.68,3,360,5,Summer,All
89.33,78.43,8,70,5,Summer,All
89.26,77.84,23,180,5,Summer,All
85.71,50.97,24,270,4,Summer,All
85.36,52.58,14,320,4,Summer,All
86.08,55.3,10,90,4,Summer,All
86.09,57.41,16,70,4,Summer,All
83.51,58.76,16,160,4,Summer,All
88.91,63.26,24,270,5,Summer,All
90.55,68.09,32,270,5,Summer,All
88.86,71.34,8,180,5,Summer,All
88.9,74.88,10,70,5,Summer,All
91.18,62.35,27,250,4,Summer,All
87.55,57.2,19,230,4,Summer,All
91.4,63.17,21,230,5,Summer,All
90.9,67.92,32,230,5,Summer,All
90.39,17,10,270,1,Summer,All
88.12,13.86,32,250,1,Summer,All
89.65,18.51,29,230,1,Summer,All
89.52,22.24,13,320,1,Summer,All
87.97,24.89,13,50,2,Summer,All
88.02,28.5,26,180,2,Summer,All
89.01,24.38,21,250,2,Summer,All
92.01,29.21,11,320,2,Summer,All
92.2,34.97,19,230,2,Summer,All
86.5,14.18,31,230,1,Summer,All
88.34,19.02,21,290,1,Summer,All
88.39,22.39,24,230,1,Summer,All
89.04,26.74,31,230,2,Summer,All
89.09,30.5,26,230,2,Summer,All
89.82,24.21,11,250,2,Summer,All
86.38,13.89,27,230,1,Summer,All
85.79,15.02,29,250,1,Summer,All
87.59,13.45,34,250,1,Summer,All
89.11,17.52,32,200,1,Summer,All
87.79,7.85,32,340,1,Spring,All
92.93,24.63,24,270,2,Spring,All
90.26,26.29,16,50,2,Spring,All
90.31,28.56,11,50,2,Spring,All
90.35,31.34,5,360,2,Spring,All
86.74,32.7,16,70,2,Spring,All
84.54,36.83,24,180,3,Spring,All
84.58,38.31,24,290,3,Spring,All
85.34,40.01,31,320,3,Spring,All
85.91,43.85,16,320,3,Spring,All
88.03,46.09,16,320,3,Spring,All
82.38,41.62,27,320,3,Spring,All
86.76,44.66,14,20,3,Spring,All
91.5,49.25,16,230,4,Spring,All
90.03,51.79,16,320,4,Spring,All
